Sr.No.,ORGANIZATION NAME,LINK
62,Kerala Small Industries Development Corporation,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SKGh6Dj7aUAWcvfYTA4sH4Q%3D%3D
63,Kerala Solid Waste Management Project World Bank Tenders,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SfshPFPqjL2%2B3OV2UBl7AWtS0Fec7wUuNy1YFXyqSerE%3D
64,Kerala State Bamboo Corporation Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SEyGeoVqxgzPkxMc5wMaPeA%3D%3D
65,Kerala State Chalachitra Academy,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SDWJN4QREhUXgVp3vTGBxCtS0Fec7wUuNy1YFXyqSerE%3D
66,Kerala State Civil Supplies Corporation Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=So2uZq%2BpbInz%2BDp%2Bb6wM8qg%3D%3D
67,Kerala State Coastal Area Development Corporation,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SFyRKyiESGiztiEb6oYAmGA%3D%3D
68,Kerala State Construction Corporation Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S4aARRK3mq9yUTP0gEwS4CA%3D%3D
69,Kerala State Council for Science Technology and Environment KSCSTE,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SsTGCJpI1URS3CKiHbkfY%2FdS0Fec7wUuNy1YFXyqSerE%3D
70,Kerala State Drugs and Pharmaceuticals Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SN4yw4tg0yrUN3vdqFegVGQ%3D%3D
71,Kerala State Electricity Board,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SkzhmvtV0s6%2BK1fjGtzn0vQ%3D%3D
72,Kerala State Electronics Development Corp Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SkJrz7Zxd2odf1T7%2BlmIdCQ%3D%3D
73,Kerala State Housing Board,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S6y2nxiLbuF3LZIzUYVZ6sQ%3D%3D
74,Kerala State Industrial Development Corporation,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=Sz%2BXWHNXnO%2BHayV9nikg1oQ%3D%3D
75,Kerala State Industrial Enterprises Ltd,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S7P6k2QWUihQNKXNS3x0y3g%3D%3D
76,Kerala State IT Mission,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SR4p3TYrFMbIBoHsxJBkRZQ%3D%3D
77,Kerala State Lottery Agents and Sellers Welfare Fund Board,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SdEuO0fTEyDBkOPk1M50%2FYNS0Fec7wUuNy1YFXyqSerE%3D
78,Kerala State Mineral Development Corporation Limited,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SN9xlYyKhX%2FendULCvwbg0dS0Fec7wUuNy1YFXyqSerE%3D
79,Kerala State Nirmithi Kendra,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SbFtG1dOxj5VJbx0uDFM1JtS0Fec7wUuNy1YFXyqSerE%3D
80,Kerala State Sports Council,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SHZZjrmmzbnr9k5AksX9MldS0Fec7wUuNy1YFXyqSerE%3D
81,Kerala Tourism Development Corporation,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SCxMj5K%2BNkTZb3Zv7UstPnA%3D%3D
82,Kerala University,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=S15523QCITKER7cc5ADqfZtS0Fec7wUuNy1YFXyqSerE%3D
83,Kerala University of Health Sciences,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SbnvRJGiGuXUSlK8e3lHTI9S0Fec7wUuNy1YFXyqSerE%3D
84,Kerala Veterinary and Animal Sciences University,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SIiK1sA4%2FOKqm0P%2FXPyU7f9S0Fec7wUuNy1YFXyqSerE%3D
85,Kerala Water Authority,https://etenders.kerala.gov.in/nicgep/app?component=%24DirectLink&page=FrontEndTendersByOrganisation&service=direct&session=T&sp=SpUU0rj42FI3UoCfR2Ztdaw%3D%3D
